185.998596001	65.468598256	-8.7218833
177.180107506	70.1848544232	-8.98935545
168.361474623	74.9009757971	-9.50803084
159.542688887	79.6169550686	-10.14897753
150.723739999	84.332780495	-11.06448295
141.904617828	89.0484447578	-12.22825229
133.08531323	93.7639382791	-13.90143258
124.265816244	98.4792525863	-16.07688797
115.446117916	103.194378061	-19.02336987
106.626208471	107.909306189	-22.66719019
97.8060772708	112.624026221	-26.35340609
88.9857147479	117.338531819	-31.5847177
80.1651123095	122.052812172	-37.70897136
71.3442605394	126.766857567	-44.26722622
62.5231482729	131.48066162	-51.29424268
53.7017662567	136.194212349	-58.9564632
44.8801062976	140.907503307	-67.36569728
36.0581565348	145.620523598	-76.56791601
27.2359089405	150.333264506	-86.67439917
18.4133527726	155.045717307	-98.76974557
9.59047924572	159.757873247	-110.52731031
0.767278726664	164.469722442	-124.59153862
-8.0562592722	169.181256098	-140.12541231
-16.8801432732	173.892466507	-157.77360209
-25.704384522	178.603342602	-175.42331593
-34.5289913768	183.313876632	-195.80455689
-43.353973039	188.0240586	-216.73987327
-52.1793405108	192.733880703	-239.15465156
-61.0051028262	197.443332895	-259.85451479
-69.8312698784	202.152406216	-280.62567446
-78.6578505396	206.861091689	-303.42737878
-87.4848554886	211.569381412	-323.99827352
-96.3122934143	216.277264138	-352.59612824
-105.140173892	220.984731925	-366.43231389
-113.968508304	225.691776788	-384.32229215
-122.797304147	230.39838742	-402.11323421
-131.626571718	235.10455691	-418.72749837
-140.456322134	239.810274971	-433.7033284
-149.286562677	244.515532456	-448.28807079
-158.11730434	249.220321252	-461.42402195
-166.948556117	253.924631028	-474.16559801
-175.780327904	258.628453636	-486.35175632
-184.612630448	263.331779772	-498.13276591
-193.445471606	268.034601274	-509.42428181
-202.278860982	272.736906586	-520.64792976
-211.11281011	277.438689644	-532.1189612
-219.947326549	282.139938883	-543.40914625
-228.782420692	286.840645985	-554.82553156
-237.618102889	291.540803717	-566.87026765
-246.454381415	296.240400422	-579.28507504
-255.291267396	300.939427681	-590.75531112
-264.128769041	305.637877122	-595.92133074
